#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 k3 	 E(k3) 	 k4 	 E(k4) 	 k5 	 E(k5) 	 k6 	 E(k6) 	 Chi2/DOF
2513	5.035183324	0.008896205992	87682.18336	2336.742074	2.191647136	0.01076535798	1.17862285	0.02831550489	1.488636854	0.0345966201	0.04757867821	0.002642634601	0.0500429195	0.002766306347	4.834730645
2514	5.030131951	0.008556533317	89131.37187	273.2383486	2.168543987	0.0096355584	1.093103552	0.01469936754	1.399087312	0.02144631532	0.020695618	0.003446199131	0.02111798192	0.00347548709	7.321510033
2515	5.035649815	0.009113949503	87861.69484	958.8813591	2.17776227	0.01063233812	1.184201027	0.0251558565	1.490882851	0.03103926304	0.04186814542	0.002250893509	0.04443386731	0.002360778503	5.49117872
2516	5.044186804	0.008179337081	77464.23023	448.6297136	2.080596823	0.006675941351	0.2381829203	0.00322783967	0.3403002801	0.003382096103	0.2381129234	0.003226844644	0.1693791076	0.00132621934	7.372039724
2517	5.046109136	0.008546218823	87596.70036	306.9272547	2.171500998	0.009544187808	1.13164911	0.01868606218	1.439407263	0.02538199836	0.03860565361	0.007217563173	0.03893471925	0.007254292261	7.123360165
2518	5.0674011	0.009140257535	76011.09971	470.7161069	2.018626319	0.007445338509	0.1145722589	0.007916041315	0.09417930628	0.006614675523	0.0728384411	0.00373420001	0.09417675414	0.01176374704	6.537707531
2519	5.041245835	0.00893155491	88272.287	707.3796717	2.172034489	0.01042493656	1.191669247	0.0250897346	1.498255207	0.03096601749	0.05011825774	0.00243164437	0.05272467913	0.002549148222	5.514896157
2520	5.045452057	0.00843048937	78162.70789	443.6270628	2.073075235	0.00704103519	0.3480005681	0.004558694281	0.4578618398	0.004525927231	0.3463054313	0.004523733854	0.2791662164	0.002286367499	7.252302778
2521	5.029501989	0.008782186801	88704.1392	2156.733819	2.191515961	0.01047960252	1.164190365	0.0255070831	1.476561279	0.03201627293	0.0242630551	0.002402171631	0.0256742466	0.002476142119	3.446224386
2522	5.026412672	0.00872587699	84981.78213	3040.857828	2.169928585	0.02427251412	0.9441423306	0.07132138459	1.181662371	0.1426772985	0.06146822228	0.003238860556	0.05731610954	0.002992886559	2.353480203
2523	5.056371714	0.009222284209	74978.61255	454.7852776	2.060658059	0.007894253535	0.1507254852	0.004178945213	0.1060142493	0.002164579556	0.05567877873	0.0009473443329	0.1059731083	0.002164584619	2.045513987
2524	5.028882587	0.008837388017	91116.24808	1298.471065	2.191308583	0.01043305173	1.147804237	0.02374655832	1.447395347	0.02946908631	0.05968471661	0.002649073458	0.06257443979	0.002784076232	6.179904977
