#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 Chi2/DOF
5148	5.06481446	0.009291832213	74991.58746	464.1042895	2.118753515	0.008700866352	9.843685351
5149	5.055209216	0.009622949375	72380.4116	463.6699724	2.062358028	0.008609512275	12.46259662
5150	5.074652286	0.009152606122	74052.08653	465.7026577	2.049808719	0.008249083751	12.53391921
5151	5.080041046	0.008645551711	73933.62467	463.6648462	2.027877165	0.007924871481	12.16916433
5152	5.067168807	0.009175541658	73969.5345	465.1066499	2.06479531	0.008369442205	15.26142596
5153	5.064684379	0.00917212208	74452.26209	470.270056	2.027784447	0.00813614709	13.5429793
5154	5.0634672	0.009211972089	74001.00285	465.6542938	2.065652317	0.008391012306	7.951730122
5155	5.059693571	0.008982173835	74188.60983	467.5713349	2.041878286	0.008172314787	10.03181999
5156	5.073340715	0.008928599337	74297.32804	464.347943	2.056309803	0.008178975946	12.61942746
5157	5.079188026	0.008563369349	74781.645	466.3732531	2.022608056	0.007823046729	15.10151628
5158	5.066313027	0.009141373694	74337.08341	466.1389609	2.066812597	0.008361730026	10.55305872
5159	5.056821203	0.009329409116	74122.45585	469.7206197	2.042050673	0.008310650282	18.09567258
5160	5.061276307	0.009385232567	72328.25969	461.4005085	2.065690329	0.00855104669	10.84054363
5161	5.073673722	0.009153027489	72842.24903	462.037485	2.050519284	0.008321030336	4.745271035
5162	5.050091061	0.009660192959	72412.5801	464.688123	2.068617892	0.008699158216	5.789678662
5163	5.051820212	0.009592175889	72530.94581	464.5620632	2.058691299	0.008578283363	8.034879441
5164	5.054753232	0.009340358349	72488.96839	461.7405445	2.06720524	0.008520294787	7.483467519
5165	5.055342484	0.009378391758	72693.16602	463.1130823	2.063475551	0.008508448879	8.78634083
5166	5.063296944	0.009534980998	73057.44825	466.3333698	2.054232005	0.008515309751	10.04210102
5167	5.055115436	0.009644462924	72228.86918	464.1321799	2.061115858	0.00863667202	7.439722457
5168	5.074425832	0.009050239718	73308.82166	462.3045961	2.051463359	0.008243308958	9.759285343
5169	5.054420773	0.009621613875	72292.62848	464.4324657	2.057299001	0.008597377643	6.456777308
5170	5.064297322	0.009342118168	72146.331	462.4034739	2.042989759	0.008391906838	12.12933757
5171	5.070023999	0.009583580167	72653.64971	465.2342846	2.054763084	0.008573051638	7.905576842
5172	5.056293305	0.009351401516	71961.26124	461.5099952	2.05329685	0.0084788221	5.447372582
5173	5.066552692	0.009439159915	72844.11451	464.2354795	2.056946452	0.008495099097	7.986074304
5174	5.064361842	0.009436163869	71500.20236	460.984208	2.038476388	0.008420795415	8.624890615
5175	5.061108734	0.009428130945	72611.48867	462.9756999	2.064368737	0.008544473938	7.80203123
5176	5.063724857	0.009026260183	72335.66994	460.495829	2.049028452	0.008300241571	8.248977526
5177	5.070231443	0.009058955105	73144.84122	461.8942811	2.057630884	0.008309201788	10.13739485
5178	5.053295811	0.009534742405	72218.33576	463.7138542	2.04774514	0.008498932902	3.690435249
5179	5.065635679	0.009346293136	72569.0869	462.1894159	2.058747362	0.008461485681	8.669889543
5180	5.060585965	0.009557756282	71312.84079	461.0850693	2.041773575	0.008500938198	6.746590124
5181	5.055186155	0.009706546084	72346.13519	464.6185211	2.067900399	0.008719146952	3.793629706
5182	5.060562198	0.009618773863	70983.93832	460.8631182	2.040490433	0.008541885826	9.609163346
5183	5.04960787	0.009711094279	72701.36621	466.0088565	2.068800647	0.00870297022	6.61674794
5184	5.058637465	0.009490455564	71233.36184	460.4957563	2.042306977	0.008483878861	9.730231871
5185	5.065866811	0.009207674901	72673.37719	461.6977198	2.057649852	0.008395263341	11.43105383
5186	5.0543867	0.009609409563	71121.73807	460.2840038	2.046634812	0.008559260169	6.267145198
5187	5.061609048	0.00941261063	72763.01763	464.180054	2.058249914	0.008500993542	13.08396274
5188	5.06085172	0.00931246688	71262.87863	459.1236025	2.044903385	0.0084262679	8.199944351
5189	5.052781491	0.009523092833	72650.82371	464.1572548	2.067717749	0.008619629454	6.747566909
5190	5.054944188	0.009634430835	72270.62154	460.7459096	2.095567835	0.008847550579	7.813938576
5191	5.0779456	0.00897335629	73252.53936	461.9725127	2.054205291	0.008272863205	7.542352756
5192	5.054671942	0.009801661488	71985.65028	461.5068126	2.088178996	0.008874027292	7.16531475
5193	5.067381384	0.009286534139	73271.69611	464.597586	2.054559977	0.008389579607	5.730859158
5194	5.052794378	0.009786070813	71632.05241	459.6971681	2.094231448	0.008912760651	8.398466493
5195	5.072198732	0.00911315357	72617.02136	461.028049	2.052118413	0.008328509137	10.89271181
5196	5.058230757	0.009593504343	72425.15401	460.9949518	2.091138352	0.008781131752	7.576742867
5197	5.067478752	0.009260406812	72371.11691	460.5932982	2.06104816	0.008449074647	7.291990513
5198	5.067767724	0.009165220053	72430.26306	457.1542919	2.088538154	0.008561560906	10.97916371
5199	5.06922477	0.009357786539	72936.87683	464.3412231	2.048739402	0.008398390574	9.765081358
5200	5.113292416	0.007565083657	73548.35623	447.7402388	2.045316122	0.007455526217	13.24397129
5201	5.076979811	0.009415064878	71102.13645	453.0402063	2.092486993	0.008727713483	8.77374388
5202	5.064514647	0.008990271054	73445.1432	460.4164892	2.083232067	0.008436270663	6.280614417
5203	5.089482207	0.008758152313	71057.71084	447.3229142	2.080715533	0.008329729378	7.748803441
5204	5.077960778	0.008871352744	73576.40906	460.6680595	2.063531232	0.008234786933	11.04433278
5205	5.076118645	0.009104389597	71135.5405	450.5600026	2.092268279	0.008570327881	5.776891096
5206	5.069090392	0.009178085774	73222.84885	461.8098555	2.071300143	0.008438243165	9.413155856
5207	5.072016844	0.009303764195	71263.92514	452.7800653	2.096101395	0.008696681864	6.405345863
5208	5.096545166	0.007960553947	73904.47037	452.8404568	2.055883184	0.007732639235	10.43200724
5209	5.064477644	0.00943989466	71227.8973	453.2855355	2.105214101	0.00882033162	7.121996159
5210	5.062282747	0.009078236588	73122.63489	466.4017644	2.019371079	0.008114776891	4.641162837
5211	5.07252786	0.009154720154	74719.13884	459.5913392	2.138146628	0.008776208562	6.8377008
5212	5.071179083	0.008893583713	73727.00444	467.1781056	2.014229304	0.007986299649	6.298941375
5213	5.057947708	0.009449930533	74427.59002	462.4547726	2.142641903	0.008976874754	4.294566108
5214	5.072228588	0.008498934205	74092.5833	465.2448161	2.017059949	0.007820270626	10.13459918
5215	5.07146383	0.009383529088	74024.93694	461.3645401	2.115168619	0.008751102633	9.644681525
5216	5.070272103	0.00881465429	74066.02813	467.9698348	2.010828606	0.007910512623	6.614283896
5217	5.073462603	0.008727133553	74462.84172	456.0794408	2.125432166	0.00848925593	7.974354586
5218	5.06782947	0.008701929146	74003.49996	466.2150554	2.020173622	0.007919133812	8.221612114
5219	5.083117747	0.008610184294	75117.267	458.1179035	2.111162134	0.008322029475	8.60494116
5220	5.067460267	0.009210118389	73606.47558	463.8075928	2.069224502	0.008434334445	5.289066983
5221	5.077431709	0.008804848214	73799.42254	464.0852844	2.034826576	0.008046060008	8.08007043
5222	5.083667734	0.008744375513	73511.66643	460.0181852	2.05050155	0.008094636417	6.59793511
5223	5.065409678	0.009063379804	73738.24746	466.715841	2.037456988	0.008194313187	10.5266204
5224	5.065961499	0.009074810637	74229.85546	465.5277193	2.063760914	0.008316359874	10.54068198
5225	5.072266065	0.0087836123	74051.68523	464.8822898	2.039134476	0.008060077372	11.75634251
5226	5.061414282	0.009083040329	73920.11195	464.3775159	2.070154201	0.008384165518	8.868588465
5227	5.072393603	0.0089495842	73501.72163	464.7675002	2.030615599	0.008091814958	7.008840278
5228	5.066405724	0.009001064237	74443.27567	465.6631286	2.066345929	0.008304558409	10.17352661
5229	5.066104003	0.009056021214	73765.0237	466.5029857	2.035421404	0.008160828783	6.097084806
5230	5.076081103	0.00903315764	75784.66161	469.298793	2.071567491	0.008297376807	9.985212143
5231	5.081952391	0.008623589557	73849.85935	461.4354418	2.04507589	0.008017765478	5.923371617
